t_s,B_T,M_proj,S,B_r
5.075225839598679,0.01093838717472593,0.9999986262733468,0.9999986262733468,0.002413793103448275
5.076212278051468,0.011271735341530453,0.9999987863606012,0.9999987863606012,0.002413793103448275
5.077198716504257,0.011605083508334979,0.9999989467108084,0.9999989467108084,0.002413793103448275
5.078185154957046,0.011938431675139501,0.9999991032744608,0.9999991032744607,0.002413793103448275
5.079171593409835,0.012271779841944025,0.9999992523479909,0.9999992523479909,0.002413793103448275
5.080158031862624,0.012605128008748547,0.9999993907400431,0.9999993907400431,0.002413793103448275
5.0811444703154125,0.012938476175553071,0.9999995159077295,0.9999995159077295,0.002413793103448275
5.082130908768201,0.013271824342357595,0.9999996260533853,0.9999996260533853,0.002413793103448275
5.08311734722099,0.013605172509162117,0.9999997201748035,0.9999997201748035,0.002413793103448275
5.084103785673779,0.013938520675966641,0.9999997980651136,0.9999997980651136,0.002413793103448275
5.085090224126568,0.014271868842771165,0.9999998602621198,0.9999998602621198,0.002413793103448275
5.086076662579357,0.014605217009575688,0.9999999079507912,0.9999999079507912,0.002413793103448275
5.087063101032146,0.014938565176380213,0.9999999428263405,0.9999999428263405,0.002413793103448275
5.088049539484935,0.015271913343184736,0.999999966928638,0.999999966928638,0.002413793103448275
5.089035977937724,0.015605261509989258,0.9999999824612196,0.9999999824612197,0.002413793103448275
5.090022416390513,0.01593860967679378,0.9999999916096315,0.9999999916096314,0.002413793103448275
5.0910088548433015,0.016271957843598306,0.9999999963740611,0.9999999963740611,0.002413793103448275
5.09199529329609,0.016605306010402828,0.9999999984301043,0.9999999984301043,0.002413793103448275
5.092981731748879,0.016938654177207354,0.9999999990290861,0.9999999990290861,0.002413793103448275
5.093968170201668,0.017272002344011876,0.9999999989458114,0.9999999989458114,0.002413793103448275
5.094954608654457,0.0176053505108164,0.9999999984772233,0.9999999984772233,0.002413793103448275
5.095941047107246,0.017938698677620924,0.9999999974906043,0.9999999974906043,0.002413793103448275
5.096927485560035,0.018272046844425446,0.999999995515137,0.999999995515137,0.002413793103448275
5.097913924012824,0.01860539501122997,0.9999999918663315,0.9999999918663315,0.002413793103448275
5.098900362465612,0.018938743178034192,0.9999999857894917,0.9999999857894917,0.002413793103448275
5.099886800918401,0.019272091344838718,0.9999999766064207,0.9999999766064205,0.002413793103448275
5.1008732393711895,0.01960543951164324,0.9999999638492192,0.9999999638492192,0.002413793103448275
5.101859677823978,0.01993878767844776,0.9999999473663829,0.9999999473663829,0.002413793103448275
5.102846116276767,0.020272135845252285,0.9999999273893942,0.9999999273893942,0.002413793103448275
5.103832554729556,0.02060548401205681,0.9999999045523158,0.9999999045523158,0.002413793103448275
5.104818993182345,0.020938832178861333,0.9999998798621118,0.9999998798621118,0.002413793103448275
5.105805431635134,0.021272180345665855,0.9999998546229572,0.9999998546229572,0.002413793103448275
5.106791870087923,0.021605528512470377,0.999999830323039,0.999999830323039,0.002413793103448275
5.107778308540712,0.021938876679274903,0.999999808496672,0.999999808496672,0.002413793103448275
5.108764746993501,0.02227222484607943,0.9999997905774322,0.9999997905774322,0.002413793103448275
5.10975118544629,0.022605573012883948,0.9999997777590731,0.9999997777590729,0.002413793103448275
5.1107376238990785,0.022938921179688473,0.9999997708800843,0.9999997708800843,0.002413793103448275
5.111724062351867,0.023272269346492996,0.9999997703449386,0.9999997703449386,0.002413793103448275
5.112710500804656,0.02360561751329752,0.999999776090691,0.999999776090691,0.002413793103448275
5.113696939257445,0.023938965680102044,0.9999997876021535,0.9999997876021535,0.002413793103448275
5.114683377710234,0.024272313846906566,0.9999998039730417,0.9999998039730417,0.002413793103448275
5.115669816163023,0.02460566201371109,0.9999998240050213,0.9999998240050213,0.002413793103448275
5.116656254615812,0.024939010180515614,0.9999998463321523,0.9999998463321526,0.002413793103448275
5.117642693068601,0.025272358347320136,0.9999998695554506,0.9999998695554505,0.002413793103448275
5.11862913152139,0.025605706514124662,0.9999998923714715,0.9999998923714715,0.002413793103448275
5.1196155699741785,0.025939054680929184,0.9999999136801387,0.9999999136801387,0.002413793103448275
5.1206020084269674,0.02627240284773371,0.99999993266024,0.99999993266024,0.002413793103448275
